,model,evaluate_max_reward,evaluate_rewards_mean,evaluate_rewards_std,hidden_layers,units_per_layer,activation_per_layer,output_layer_activation,num_episodes,learning_rate,epsilon,epsilon_min,epsilon_decay,batch_size,discount,update_target_every,speed_weight
0,2024-06-15_12-31-16_dqn_mountaincar,-87.0,-109.1,20.344286667268527,2,"[64, 64]","['relu', 'relu']",linear,500,0.005,0.6063789448611848,0.001,0.999,128,0.9,40,100.0
1,2024-06-15_13-02-52_dqn_mountaincar,-86.0,-112.9,22.106333933965622,2,"[64, 64]","['relu', 'relu']",linear,500,0.001,0.0009550049507968265,0.001,0.9,64,0.9,20,50.0
2,2024-06-15_13-39-22_dqn_mountaincar,-146.0,-150.3,2.9681644159311658,2,"[64, 64]","['relu', 'relu']",linear,200,0.0001,0.0009833015279105794,0.001,0.95,64,0.9,20,20.0
3,2024-06-15_13-45-28_dqn_mountaincar,-116.0,-183.5,33.00681747760605,2,"[64, 64]","['relu', 'relu']",linear,200,0.01,0.13397967485796175,0.001,0.99,32,0.9,10,20.0
4,2024-06-15_12-43-21_dqn_mountaincar,-84.0,-121.7,23.65607744322799,2,"[64, 64]","['relu', 'relu']",linear,500,0.001,0.07341467529625044,0.001,0.995,256,0.9,20,50.0
5,2024-06-15_13-00-05_dqn_mountaincar,-85.0,-115.1,26.200954181098062,2,"[64, 64]","['relu', 'relu']",linear,500,0.001,0.07341467529625044,0.001,0.995,256,0.9,20,10.0
6,2024-06-15_08-13-32_dqn_mountaincar,-200.0,-200.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,500,0.005,0.6063789448611848,0.005,0.999,256,0.95,40,
7,2024-06-15_13-20-27_dqn_mountaincar,-140.0,-147.8,8.681013765684282,2,"[64, 64]","['relu', 'relu']",linear,500,0.01,0.006570483042414605,0.001,0.99,256,0.9,20,100.0
8,2024-06-15_10-54-10_dqn_mountaincar,-108.0,-141.2,11.745637488020817,2,"[64, 64]","['relu', 'relu']",linear,1000,0.005,0.3676954247709635,0.001,0.999,128,0.9,40,1000.0
9,2024-06-15_13-41-53_dqn_mountaincar,-92.0,-130.9,23.394230057858284,2,"[64, 64]","['relu', 'relu']",linear,200,0.005,0.0009833015279105794,0.001,0.95,64,0.9,20,20.0
10,2024-06-15_12-23-27_dqn_mountaincar,-87.0,-126.7,23.05666931714119,2,"[64, 64]","['relu', 'relu']",linear,1000,0.005,0.000993147795920851,0.001,0.99,128,0.9,40,100.0
11,2024-06-15_11-21-25_dqn_mountaincar,-110.0,-137.7,19.36517492820553,2,"[64, 64]","['relu', 'relu']",linear,1000,0.005,0.3676954247709635,0.001,0.999,128,0.9,40,100.0
12,2024-06-15_13-45-47_dqn_mountaincar,-96.0,-134.2,24.632498858215744,2,"[64, 64]","['relu', 'relu']",linear,200,0.005,0.0009833015279105794,0.001,0.95,64,0.9,20,20.0
13,2024-06-15_11-01-53_dqn_mountaincar,-85.0,-109.1,20.539961051569694,2,"[64, 64]","['relu', 'relu']",linear,1000,0.005,0.9048328935585562,0.001,0.9999,128,0.9,40,1000.0
14,2024-06-15_12-35-51_dqn_mountaincar,-89.0,-127.1,22.232633672149593,2,"[64, 64]","['relu', 'relu']",linear,500,0.001,0.006570483042414605,0.001,0.99,128,0.9,40,100.0
15,2024-06-15_16-46-16_dqn_mountaincar,-111.0,-128.5,14.23551895787435,2,"[64, 64]","['relu', 'relu']",linear,200,0.001,0.13397967485796175,0.001,0.99,32,0.9,10,100.0
16,2024-06-15_12-16-56_dqn_mountaincar,-108.0,-126.6,17.48256274120016,2,"[64, 64]","['relu', 'relu']",linear,10000,0.005,0.3678610464329692,0.001,0.9999,128,0.9,40,1000.0
17,2024-06-15_13-48-51_dqn_mountaincar,-93.0,-113.8,14.218298069740978,2,"[64, 64]","['relu', 'relu']",linear,200,0.001,0.13397967485796175,0.001,0.99,512,0.7,40,100.0
18,2024-06-15_12-43-26_dqn_mountaincar,-144.0,-154.9,17.397988389466178,2,"[64, 64]","['relu', 'relu']",linear,1000,0.01,0.3676954247709635,0.001,0.999,128,0.9,40,100.0
19,2024-06-15_13-36-42_dqn_mountaincar,-84.0,-104.4,18.456435192094922,2,"[64, 64]","['relu', 'relu']",linear,200,0.001,0.0009833015279105794,0.001,0.95,64,0.9,20,20.0
20,2024-06-15_11-57-24_dqn_mountaincar,-118.0,-136.7,16.186722954322782,2,"[64, 64]","['relu', 'relu']",linear,1000,0.01,0.3676954247709635,0.001,0.999,128,0.9,40,100.0
21,2024-06-15_13-56-21_dqn_mountaincar,-85.0,-114.8,26.32413341403663,2,"[64, 64]","['relu', 'relu']",linear,1000,0.001,0.000993147795920851,0.001,0.99,512,0.7,40,100.0
